Date,Number1,Number2,Number3,Number4,Number5,Number6,Bonus
2024/10/29,1,26,19,9,39,3,1
2024/10/30,37,42,12,27,3,32,21
2024/10/31,37,13,28,40,24,17,27
2024/11/01,17,27,19,26,40,38,4
2024/11/02,33,1,34,48,31,49,7
2024/11/03,15,23,41,30,24,17,40
2024/11/04,38,45,5,14,7,43,23
2024/11/05,4,29,3,32,8,33,28
2024/11/06,7,46,29,43,49,22,4
2024/11/07,40,36,21,41,30,31,45
2024/11/08,13,47,6,32,36,43,28
2024/11/09,15,40,18,9,17,45,46
2024/11/10,41,20,22,7,30,24,49
2024/11/11,29,11,26,35,12,22,24
2024/11/12,35,21,1,26,38,14,46
2024/11/13,20,6,14,34,31,28,46
2024/11/14,24,30,3,48,49,9,34
2024/11/15,22,32,46,3,43,24,49
2024/11/16,4,28,41,21,36,25,14
2024/11/17,4,47,16,31,7,44,36
2024/11/18,46,35,18,15,36,22,32
2024/11/19,19,30,21,44,49,28,11
2024/11/20,12,13,43,21,8,25,22
2024/11/21,2,47,30,3,33,4,22
2024/11/22,49,32,5,43,23,14,29
2024/11/23,45,22,28,42,38,11,16
2024/11/24,31,7,22,34,5,11,25
2024/11/25,38,42,9,19,30,32,24
2024/11/26,32,38,8,26,33,11,1
2024/11/27,42,27,24,32,28,9,3
2024/11/28,2,29,46,48,44,5,21
2024/11/29,22,28,26,36,20,1,43
2024/11/30,45,38,26,7,46,48,10
2024/12/01,46,20,3,24,13,48,5
2024/12/02,26,29,20,35,36,21,41
2024/12/03,47,48,19,43,8,44,33
2024/12/04,13,43,8,29,32,37,9
2024/12/05,32,19,28,27,13,25,6
2024/12/06,32,22,16,46,40,6,44
2024/12/07,44,10,22,16,42,1,12
2024/12/08,23,14,20,10,29,45,44
2024/12/09,3,27,48,31,12,24,16
2024/12/10,5,8,48,33,43,27,28
2024/12/11,8,31,13,26,3,43,48
2024/12/12,40,1,31,21,12,15,22
2024/12/13,16,20,30,22,48,19,17
2024/12/14,47,26,2,33,14,15,5
2024/12/15,10,2,13,12,42,43,17
2024/12/16,47,18,21,5,25,45,24
2024/12/17,46,43,31,13,20,12,7
2024/12/18,17,9,41,27,30,38,11
2024/12/19,38,2,47,34,39,37,13
2024/12/20,24,41,19,17,23,21,5
2024/12/21,46,49,30,2,28,37,24
2024/12/22,28,27,36,3,8,1,12
2024/12/23,34,22,4,46,17,18,26
2024/12/24,6,44,24,42,19,4,26
2024/12/25,26,27,48,7,9,20,6
2024/12/26,14,46,3,38,33,32,13
2024/12/27,4,14,45,15,23,26,20
2024/12/28,7,17,16,13,15,30,49
2024/12/29,22,31,41,48,17,49,26
2024/12/30,34,3,30,8,17,14,49
2024/12/31,22,21,7,37,42,46,49
2025/01/01,49,44,43,31,4,48,28
2025/01/02,36,9,10,6,44,39,34
2025/01/03,18,16,22,48,45,8,32
2025/01/04,5,8,41,24,40,16,14
2025/01/05,9,42,45,36,24,49,44
2025/01/06,12,48,27,11,16,2,30
2025/01/07,21,4,26,18,22,7,16
2025/01/08,4,19,27,2,46,5,37
2025/01/09,22,9,49,20,16,2,38
2025/01/10,39,19,34,29,27,10,46
2025/01/11,26,42,19,20,1,37,18
2025/01/12,41,44,32,5,21,40,37
2025/01/13,44,1,46,21,43,13,3
2025/01/14,12,9,13,6,25,4,33
2025/01/15,27,23,48,34,9,32,46
2025/01/16,37,36,18,23,21,10,46
2025/01/17,14,8,45,13,47,20,27
2025/01/18,33,19,46,28,24,42,2
2025/01/19,47,30,27,10,45,17,8
2025/01/20,1,2,23,45,29,13,43
2025/01/21,25,34,13,15,12,1,38
2025/01/22,35,39,9,11,41,14,20
2025/01/23,48,30,41,21,32,3,5
2025/01/24,18,34,11,38,41,31,14
2025/01/25,2,44,22,24,20,36,31
2025/01/26,28,40,10,16,21,29,33
2025/01/27,38,15,9,23,21,16,26
2025/01/28,2,23,46,37,39,3,16
2025/01/29,3,5,47,43,26,17,44
2025/01/30,19,6,48,11,36,24,32
2025/01/31,23,13,22,16,17,3,31
2025/02/01,4,48,5,2,9,28,42
2025/02/02,49,12,3,19,42,14,10
2025/02/03,24,48,10,3,26,6,42
2025/02/04,2,29,27,13,40,6,41
2025/02/05,46,12,27,31,47,5,2
2025/02/06,35,12,48,15,36,4,24
2025/02/07,46,6,44,33,1,20,49
2025/02/08,25,4,44,2,20,43,33
2025/02/09,14,37,10,29,26,21,40
2025/02/10,35,7,10,6,1,5,48
2025/02/11,24,46,33,48,11,47,23
2025/02/12,10,28,14,39,21,32,40
2025/02/13,37,9,35,14,36,24,6
2025/02/14,21,49,40,30,46,22,15
2025/02/15,43,7,17,28,33,20,24
2025/02/16,14,4,45,30,16,3,41
2025/02/17,49,7,3,35,9,31,41
2025/02/18,33,5,29,43,14,20,42
2025/02/19,29,34,49,42,24,35,5
2025/02/20,46,32,27,13,45,19,33
2025/02/21,39,12,43,11,36,42,15
2025/02/22,25,6,12,27,35,26,28
2025/02/23,31,39,15,29,27,46,17
2025/02/24,15,33,39,28,10,16,1
2025/02/25,9,27,45,6,44,39,18
2025/02/26,19,27,1,11,43,20,48
2025/02/27,23,33,1,17,8,39,41
2025/02/28,40,22,21,11,42,20,45
2025/03/01,14,12,28,19,48,40,8
2025/03/02,45,46,20,21,19,3,40
2025/03/03,33,38,34,14,2,30,32
2025/03/04,29,45,16,17,31,32,30
2025/03/05,2,21,4,13,35,28,17
2025/03/06,38,49,20,19,30,39,1
2025/03/07,43,18,7,34,9,39,8
2025/03/08,6,15,29,45,16,10,46
2025/03/09,14,12,47,13,6,16,5
2025/03/10,32,49,48,43,25,34,45
2025/03/11,44,47,25,1,30,36,31
2025/03/12,19,48,18,35,34,12,2
2025/03/13,9,21,7,13,23,24,17
2025/03/14,43,8,30,9,29,10,19
2025/03/15,9,37,26,45,12,16,5
2025/03/16,23,25,8,14,19,3,17
2025/03/17,18,34,27,6,37,42,11
2025/03/18,37,19,9,11,43,8,31
2025/03/19,21,22,34,33,46,16,10
2025/03/20,2,45,33,38,19,46,41
2025/03/21,28,13,34,20,37,22,12
2025/03/22,15,21,9,1,41,5,24
2025/03/23,26,39,44,37,30,16,46
